,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
40,450000.0,5 bedroom detached house for sale,"Broadview Villas, Sherburn Village, Durham, DH6",http://www.rightmove.co.uk/properties/81970008#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Durham-335.html,DH6,5.0,2022-02-19 23:43:34.882786
41,450000.0,6 bedroom terraced house for sale,"Nevilledale Terrace, Durham City",http://www.rightmove.co.uk/properties/75414329#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Stuart-Edwards/Durham-41828.html,,6.0,2022-02-19 23:43:34.882786
42,450000.0,4 bedroom terraced house for sale,"Claypath, Durham City, DH1",http://www.rightmove.co.uk/properties/100244837#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH1,4.0,2022-02-19 23:43:34.882786
43,445000.0,4 bedroom detached house for sale,"The Dene, West Rainton, Houghton Le Spring, DH4",http://www.rightmove.co.uk/properties/107046320#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH4,4.0,2022-02-19 23:43:34.882786
44,440000.0,3 bedroom semi-detached house for sale,"Scripton Farm, Brancepeth, Durham, DH7",http://www.rightmove.co.uk/properties/62078225#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH7,3.0,2022-02-19 23:43:34.882786
45,425000.0,3 bedroom detached house for sale,"St Marys Close, Shincliffe Village, Durham, DH1",http://www.rightmove.co.uk/properties/114627323#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH1,3.0,2022-02-19 23:43:34.882786
46,425000.0,4 bedroom detached house for sale,"Moorlands, Moor Edge, Crossgate, Durham City",http://www.rightmove.co.uk/properties/113106377#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,,4.0,2022-02-19 23:43:34.882786
47,425000.0,5 bedroom end of terrace house for sale,"Beechcrest, Durham City, DH1",http://www.rightmove.co.uk/properties/113019461#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH1,5.0,2022-02-19 23:43:34.882786
48,,4 bedroom detached house for sale,"South Road,
Durham,
DH1 3TG",http://www.rightmove.co.uk/properties/83405484#/?channel=RES_BUY,http://www.rightmove.co.uk/developer/branch/David-Wilson-Homes-North-East/The-Drive-at-Mount-Oswald-160754.html,DH1,4.0,2022-02-19 23:43:34.882786
49,409995.0,4 bedroom detached house for sale,"South Road,
Durham,
DH1 3TG",http://www.rightmove.co.uk/properties/83645463#/?channel=RES_BUY,http://www.rightmove.co.uk/developer/branch/David-Wilson-Homes-North-East/The-Drive-at-Mount-Oswald-160754.html,DH1,4.0,2022-02-19 23:43:34.882786
50,300000.0,3 bedroom semi-detached house for sale,"Moor Edge, Crossgate Moor, Durham, DH1",http://www.rightmove.co.uk/properties/120160739#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/YOUR-MOVE-Chris-Stonock/Durham-83353.html,DH1,3.0,2022-02-19 23:43:34.882786
51,400000.0,4 bedroom end of terrace house for sale,"Jubilee Place, High Street North, Shincliffe Village, DH1",http://www.rightmove.co.uk/properties/119924900#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH1,4.0,2022-02-19 23:43:34.882786
52,400000.0,5 bedroom detached house for sale,"Cheveley Court, Belmont, Durham",http://www.rightmove.co.uk/properties/115197074#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Robinsons/Durham-42734.html,,5.0,2022-02-19 23:43:34.882786
53,399995.0,4 bedroom end of terrace house for sale,"South Road,
Durham,
DH1 3TG",http://www.rightmove.co.uk/properties/83035869#/?channel=RES_BUY,http://www.rightmove.co.uk/developer/branch/David-Wilson-Homes-North-East/The-Drive-at-Mount-Oswald-160754.html,DH1,4.0,2022-02-19 23:43:34.882786
54,399950.0,3 bedroom detached bungalow for sale,"MELDON WAY, HIGH SHINCLIFFE, Durham City, DH1 2PZ",http://www.rightmove.co.uk/properties/119078999#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Dowen/Durham-46103.html,DH1,3.0,2022-02-19 23:43:34.882786
55,399950.0,3 bedroom bungalow for sale,"Meldon Way, High Shincliffe, Durham, DH1",http://www.rightmove.co.uk/properties/119014976#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ben-Charles/Durham-83492.html,DH1,3.0,2022-02-19 23:43:34.882786
56,399950.0,3 bedroom detached house for sale,"New Brancepeth, Durham, DH7",http://www.rightmove.co.uk/properties/113309330#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Durham-City-30221.html,DH7,3.0,2022-02-19 23:43:34.882786
57,395000.0,3 bedroom detached bungalow for sale,"High Pittington, Durham, Co.Durham",http://www.rightmove.co.uk/properties/112184822#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Seven-Keys/Gateshead-201584.html,,3.0,2022-02-19 23:43:34.882786
58,392500.0,4 bedroom detached house for sale,"Hornbeam Close, Belmont, Durham City",http://www.rightmove.co.uk/properties/117700439#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,,4.0,2022-02-19 23:43:34.882786
59,390000.0,3 bedroom bungalow for sale,"Witton Grove, Durham, DH1",http://www.rightmove.co.uk/properties/111231767#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/British-Homesellers/National-103727.html,DH1,3.0,2022-02-19 23:43:34.882786
60,389950.0,3 bedroom end of terrace house for sale,"The Canterbury, The Sands, Durham, DH1",http://www.rightmove.co.uk/properties/113408753#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bradley-Hall-Chartered-Surveyors-and-Estate-Agents/Durham-45311.html,DH1,3.0,2022-02-19 23:43:34.882786
61,380000.0,4 bedroom end of terrace house for sale,"Manor Close, Shincliffe, Durham, DH1",http://www.rightmove.co.uk/properties/114108074#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Durham-City-30221.html,DH1,4.0,2022-02-19 23:43:34.882786
62,379950.0,3 bedroom house for sale,"The Sands,
Durham,
DH1",http://www.rightmove.co.uk/properties/86325497#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Newfield-Estates/Durham-109595.html,DH1,3.0,2022-02-19 23:43:34.882786
63,375000.0,4 bedroom detached house for sale,"Oatlands Way, Pity Me, Durham",http://www.rightmove.co.uk/properties/119392403#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/George-FWhite/Barnard-Castle-42783.html,,4.0,2022-02-19 23:43:34.882786
64,375000.0,4 bedroom house for sale,"Darlington Road, Durham, DH1",http://www.rightmove.co.uk/properties/117948773#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/elopa/Sunderland-161747.html,DH1,4.0,2022-02-19 23:43:34.882786
65,375000.0,4 bedroom detached house for sale,"Hornbeam Close, Belmont, Durham",http://www.rightmove.co.uk/properties/113836208#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,,4.0,2022-02-19 23:43:34.882786
66,365000.0,4 bedroom end of terrace house for sale,"Dalton Crescent, Durham City",http://www.rightmove.co.uk/properties/116819768#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bradley-Hall-Chartered-Surveyors-and-Estate-Agents/Durham-45311.html,,4.0,2022-02-19 23:43:34.882786
67,364950.0,3 bedroom terraced house for sale,"The Canterbury, Illingworth Grove, Whinney Hill, DH1",http://www.rightmove.co.uk/properties/113408642#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,DH1,3.0,2022-02-19 23:43:34.882786
68,355000.0,4 bedroom detached house for sale,"The Bailey, Hartley Gardens, Gilesgate, Durham City",http://www.rightmove.co.uk/properties/115285211#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Durham-335.html,,4.0,2022-02-19 23:43:34.882786
69,350000.0,5 bedroom town house for sale,"Kirkwood Drive, Durham, Durham, DH1",http://www.rightmove.co.uk/properties/119661740#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Durham-335.html,DH1,5.0,2022-02-19 23:43:34.882786
70,350000.0,5 bedroom town house for sale,"Kirkwood Drive, Nevilles Cross, Durham City, Durham, DH1",http://www.rightmove.co.uk/properties/119732063#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Stuart-Edwards/Durham-41828.html,DH1,5.0,2022-02-19 23:43:34.882786
71,350000.0,4 bedroom detached house for sale,"Folds Close Farm, New Brancepeth",http://www.rightmove.co.uk/properties/112457990#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Dowen/Durham-46103.html,,4.0,2022-02-19 23:43:34.882786
72,340000.0,5 bedroom detached house for sale,"HOLBY GARTH, BROWNEY, Durham City, DH7 8LE",http://www.rightmove.co.uk/properties/118765340#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Elite-Estates-and-Lettings/Durham-80477.html,DH7,5.0,2022-02-19 23:43:34.882786
73,339950.0,4 bedroom detached house for sale,"Aykley Heads,
Durham,
DH1",http://www.rightmove.co.uk/properties/81271077#/?channel=RES_BUY,,DH1,4.0,2022-02-19 23:43:34.882786
74,339950.0,4 bedroom detached house for sale,"Longhill Court, Browney",http://www.rightmove.co.uk/properties/119871944#/?channel=RES_BUY,,,4.0,2022-02-19 23:43:34.882786
75,120000.0,3 bedroom semi-detached house for sale,"Rowantree Avenue, Gilesgate",http://www.rightmove.co.uk/properties/120055166#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rise-Sales-and-Lettings/Durham-63445.html,,3.0,2022-02-19 23:43:34.882786
76,335000.0,5 bedroom detached house for sale,"Worcester Road, Newton Hall, Durham, DH1",http://www.rightmove.co.uk/properties/120002261#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/YOUR-MOVE-Chris-Stonock/Durham-83353.html,DH1,5.0,2022-02-19 23:43:34.882786
77,330000.0,4 bedroom detached house for sale,"The Hild, Hartley Gardens, Gilesgate, Durham City",http://www.rightmove.co.uk/properties/90237007#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,,4.0,2022-02-19 23:43:34.882786
